SMILES,LOAEL_measured_median,LOAEL_predicted,Confidence
CCc1nn(c(c1Cl)C(=O)NCc1ccc(cc1)Oc1ccc(cc1)C)C,0.0039076,0.058476389629858634,1
CCCCSP(=O)(SCCCC)SCCCC,0.0039744,0.11023459880183308,1
CCOP(=S)(Oc1ncn(n1)c1ccccc1)OCC,0.0041492,0.01713898712891646,1
CCOP(=O)(OC(=CCl)c1ccc(cc1Cl)Cl)OCC,0.0041717,0.039342418370271574,1
CCOP(=O)(O/C(=C/Cl)/c1ccc(cc1Cl)Cl)OCC,0.0041717,0.033332702218770514,1
Clc1nc(nc(n1)Cl)Nc1ccccc1Cl,0.0041739,0.08634291125315696,1
Clc1cccc(n1)C(Cl)(Cl)Cl,0.0043308,0.019405309307557204,1
N#CC(c1cccc(c1)Oc1ccccc1)OC(=O)C1C(C1(C)C)C(C(Br)(Br)Br)Br,0.0045112,0.0031135814710462704,1
COc1sc(=O)n(n1)CSP(=S)(OC)OC,0.00471335,0.04223007390579923,1
N#CC(c1ccc(c(c1)Oc1ccccc1)F)OC(=O)C1C(C1(C)C)/C=C(/c1ccc(cc1)Cl)\Cl,0.0048983,0.01958853478563087,1
CCOP(=S)(OCC)SCSP(=S)(OCC)OCC,0.0049418,0.02074326771226632,1
CCOP(=O)(Oc1ccc(c(c1)C)SC)NC(C)C,0.0049447,0.0061436461292879024,1
N#CC(c1cccc(c1)Oc1ccccc1)OC(=O)C(C(C)C)Nc1ccc(cc1Cl)C(F)(F)F,0.004971,0.013469860785889567,1
CCNc1nc(nc(n1)Cl)NC(C#N)(C)C,0.0051933,0.011106715359497846,1
CC(Cc1ccc(cc1)C(C)(C)C)CN1CC(C)OC(C1)C,0.0056016,0.11627200128566742,1
COP(=S)(Oc1nc(Cl)c(cc1Cl)Cl)OC,0.00620095,0.010953466133400258,1
COC(=O)Nc1nc2c([nH]1)cc(cc2)S(=O)c1ccccc1,0.0063422,0.05972708746699038,1
ClCC(N1C(=O)c2c(C1=O)cccc2)SP(=S)(OCC)OCC,0.0063477,0.012522305207467386,1
CCOP(=S)(Oc1ccc(cc1)N(=O)=O)OCC,0.0067295,0.007973629201212893,1
OC(C(Cl)(Cl)Cl)(c1ccc(cc1)Cl)c1ccc(cc1)Cl,0.0067479,0.039168011757639176,1
CNC(=O)Oc1cc(C)c(c(c1)C)N(C)C,0.0067481,0.054110488568205405,1
COC(=O)N(C(=O)N1COC2(C(=N1)c1ccc(cc1C2)Cl)C(=O)OC)c1ccc(cc1)OC(F)(F)F,0.0068203,0.02396776740094343,1
CCNc1nc(Cl)nc(n1)NC(C)(C)C,0.0069218,0.060647387381675334,1
CCOP(=S)(Oc1ccc(cc1)[N+](=O)[O-])OCC,0.0070384,0.02357715869338683,1
Cc1nn(c(c1/C=N/OCc1ccc(cc1)C(=O)OC(C)(C)C)Oc1ccccc1)C,0.0071176,0.056625422915013345,1
Cc1nn(c(c1C=NOCc1ccc(cc1)C(=O)OC(C)(C)C)Oc1ccccc1)C,0.0073074,0.05207655007555329,1
Clc1ccc(cc1)C(c1ccccc1Cl)(c1cncnc1)O,0.0075484,0.055882395251825444,1
COP(=S)(SCn1nnc2c(c1=O)cccc2)OC,0.0076105,0.022975180940396408,1
Fc1ccc(cc1)[Si](c1ccc(cc1)F)Cn1cncn1,0.0076575,0.0663019720403673,1
N#CC(c1cccc(c1)Oc1ccccc1)OC(=O)C1C(C1(C)C)C=C(Br)Br,0.00781875,0.01884641896854246,1
Fc1ccc(cc1)C(c1ccccc1Cl)(c1cncnc1)O,0.007943,0.05932285680377183,1
N#Cc1nn(c(c1S(=O)CC)N)c1c(Cl)cc(cc1Cl)C(F)(F)F,0.0080563,0.020459300852349448,1
CCN(c1nc(cc(n1)C)OP(=S)(OC)OC)CC,0.0081878,0.008835755274300026,1
Clc1ccc(cc1)OS(=O)(=O)c1ccc(cc1)Cl,0.0082464,0.057782768614625564,1
Clc1cc(cnc1Nc1c(cc(c(c1[N+](=O)[O-])Cl)C(F)(F)F)[N+](=O)[O-])C(F)(F)F,0.008299399999999998,0.007079497027700477,1
[O-][N+](=O)c1cc([N+](=O)[O-])c(c(c1)[N+](=O)[O-])C,0.0088055,0.03587722530959524,1
CCCCOC(=O)C(Oc1ccc(cc1)Oc1ccc(cn1)C(F)(F)F)C,0.00885585,0.09886214997965274,1
CSC(=O)c1c(nc(c(c1CC(C)C)C(=O)SC)C(F)(F)F)C(F)F,0.009043,0.11104195297596099,1
Clc1ccc(c(c1)Cl)C(Cn1cncn1)COC(C(F)F)(F)F,0.0091362,0.042646128650143424,1
CCCN(C(=O)SCc1ccccc1)CCC,0.0091492,0.09024841367916704,1
CON(C(=O)Nc1ccc(cc1)Cl)C,0.0093175,0.08588617798925964,1
CCCCOC(=O)C(Oc1ccc(cc1)Oc1ccc(cc1F)C#N)C,0.0096257,0.0962603157906033,1
N#C/N=C\1/SCCN1Cc1ccc(nc1)Cl,0.0098922,0.07687923993118359,1
Cc1c(ccc(c1C1=NOCC1)S(=O)(=O)C)C(=O)c1cnn(c1O)C,0.0099068,0.015610757099600523,1
CC1(C)CNC(=NC1)NN=C(C=Cc1ccc(cc1)C(F)(F)F)C=Cc1ccc(cc1)C(F)(F)F,0.0099095,0.07493735959045064,1
COP(=O)(OC=C(Cl)Cl)OC,0.0100688,0.009448092921794311,1
CCCSP(=O)(SCCC)OCC,0.010069,0.004260900279636844,1
FC(c1ccc(cc1)C=CC(=NN=C1NCC(CN1)(C)C)C=Cc1ccc(cc1)C(F)(F)F)(F)F,0.010112,0.04156903509825316,1
CCOC(=O)Nc1cccc(c1)OC(=O)Nc1ccccc1,0.010656,0.10996903110463466,1
O=C(C1C(C1(C)C)C=C(C(F)(F)F)Cl)OCc1c(F)c(F)c(c(c1F)F)C,0.010986,0.05146541708584219,1
O=C(C1C(C1(C)C)C=C(C(F)(F)F)Cl)OCc1cccc(c1C)c1ccccc1,0.011824,0.04630334249176602,1
O=S1OCC2C(CO1)C1(C(C2(Cl)C(=C1Cl)Cl)(Cl)Cl)Cl,0.012287,0.0008008953177590316,1
Clc1cc(Cl)c(c(c1O)Cc1c(O)c(Cl)cc(c1Cl)Cl)Cl,0.012288,0.010687386758644977,1
CC(Oc1cc(c(cc1Cl)Cl)n1nc(oc1=O)C(C)(C)C)C,0.0124555,0.06973762406858972,1
Clc1ccc(c(c1)Cl)n1c(nc2c(c1=O)cc(cc2)F)n1cncn1,0.01268,0.023986315784351057,1
CCC1CCCC(OC2CCC(C(O2)C)N(C)C)C(C)C(=O)C2=CC3C(C2CC(=O)O1)C=C(C)C1C3CC(C1)OC1OC(C)C(C(C1OC)OC)OC,0.012735,0.011658347495794745,1
CC1C=CC=C2COC3C2(O)C(C=C(C3O)C)C(=O)OC2CC(CC=C(C1)C)OC1(C2)CCC(C(O1)C)C,0.012862,0.029638965621778653,1
COc1ccc(cc1NNC(=O)OC(C)C)c1ccccc1,0.012985,0.21029553896154637,1
N#CC(c1cccc(c1)Oc1ccccc1)OC(=O)C(c1ccc(cc1)OC(F)F)C(C)C,0.01329,0.028103848754466716,1
CCP(=S)(Sc1ccccc1)OCC,0.0133561,0.008903325688012274,1
O=c1c(Cl)c(SCc2ccc(cc2)C(C)(C)C)cnn1C(C)(C)C,0.013701,0.051038254424625416,1
CNP(=O)(Oc1ccc(cc1Cl)C(C)(C)C)OC,0.013712,0.05995068965337964,1
NC1=C(Cl)C(=O)c2c(C1=O)cccc2,0.01392,0.7320145988131852,1
CCN(C(=O)SCC)C1CCCCC1,0.01393,0.05807982197692732,1
CNC(=O)Oc1cccc2c1OC(C2)(C)C,0.01394355,0.18818077034702926,1
O=C(C1C(C1(C)C)/C=C(/C(F)(F)F)\Cl)OCc1c(F)c(F)c(c(c1F)F)C,0.01409,0.05075450958566806,1
CC(c1ccccc1)(C[Sn](O[Sn](CC(c1ccccc1)(C)C)(CC(c1ccccc1)(C)C)CC(c1ccccc1)(C)C)(CC(c1ccccc1)(C)C)CC(c1ccccc1)(C)C)C,0.01425,1.6092292822930885e-06,1
CCCN(c1c(cc(cc1[N+](=O)[O-])C(F)(F)F)[N+](=O)[O-])CC1CC1,0.014397,0.053071152817700716,1
CC(c1ccc(cc1)CCOc1ncnc2c1cccc2)(C)C,0.014687,0.06269166703500567,1
CCCCC(c1ccc(cc1Cl)Cl)(Cn1cncn1)O,0.014958,0.057232804175751384,1
N#CC(c1ccc(cc1)Oc1ccccc1)OC(=O)C1C(C1(C)C)/C=C\C(=O)OC(C(F)(F)F)C(F)(F)F,0.01496,0.011563880688131314,1
N#Cc1c(Cl)c(C#N)c(c(c1Cl)Cl)Cl,0.015043,0.09015101097920408,1
N#CC(c1cc(C)c(cc1Cl)NC(=O)c1cc(I)cc(c1O)I)c1ccc(cc1)Cl,0.015081,0.011702634515242808,1
Clc1cc(cnc1CCNC(=O)c1ccccc1C(F)(F)F)C(F)(F)F,0.015124,0.04797609349069653,1
