SMILES,-log10(LOAEL),Dataset
ClCC[N](C)(C)C,-0.3507905474264569,mazzatorta
c1ccc(cc1)c1ccccc1OCC1CO1,-0.3443333156812774,mazzatorta
Clc1ccccc1CC(C1(Cl)CC1)(Cn1nc[nH]c1=S)O,-0.33817749929653595,swiss
CCCCOC(=O)c1ccccc1C(=O)OCCCC,-0.3335681749239878,mazzatorta
Clc1ccc(cc1)Cl,-0.3098004456017336,mazzatorta
OC(=O)COc1nc(F)c(c(c1Cl)N)Cl,-0.2923668466362255,mazzatorta and swiss
CC(C1(C)N=C(NC1=O)c1ncccc1C(=O)O)C,-0.2818738568701229,mazzatorta
CCC(=O)C1=C([O-])CC(CC1=O)C(=O)[O-].[Ca+2],-0.2727695865517595,swiss
CCC(c1noc(c1)NC(=O)c1c(OC)cccc1OC)(CC)C,-0.25650126621131825,swiss
COc1ccc(c(c1)OC)N,-0.2557065825826247,mazzatorta
C[N+]1(C)CCCCC1.[Cl-],-0.25302283361133676,swiss
OC(=O)CNCP(=O)(O)O,-0.24905152880508483,mazzatorta and swiss
O/C(=C\1/C(=O)CC(CC1=O)C(=O)O)/C1CC1,-0.24373236455264888,swiss
ClCC#CCOC(=O)Nc1cccc(c1)Cl,-0.24142195171199538,mazzatorta
CCc1c(C(=O)O)c(=O)cnn1c1ccc(cc1)Cl,-0.2269863455252203,swiss
ClC(SN1C(=O)c2c(C1=O)cccc2)(Cl)Cl,-0.2268575702887235,mazzatorta
NCC(c1ccc(cc1)O)O,-0.21274676478407128,mazzatorta
c1ccc(cc1)c1ccccc1,-0.2098365950696554,mazzatorta
CC(C1(C)N=C(NC1=O)c1nc2ccccc2cc1C(=O)O)C,-0.20574554094266215,swiss
CCC(c1noc(c1)NC(=O)c1c(OC)cccc1OC)(CC)C,-0.20016624636310748,swiss
CC(Oc1cccc(c1)NC(=O)c1ccccc1C(F)(F)F)C,-0.18934992433919778,mazzatorta
Fc1cc2CCC(n3c2c(c1)c(=O)c(c3)C(=O)O)C,-0.18500355649180514,mazzatorta
COC(=O)c1c(Cl)c(Cl)c(c(c1Cl)Cl)C(=O)OC,-0.17788264326532469,mazzatorta
CCCCOC(=O)c1ccccc1C(=O)OCc1ccccc1,-0.1774499209718248,mazzatorta
CCCN(c1c(cc(cc1[N+](=O)[O-])C(F)(F)F)[N+](=O)[O-])CCC,-0.1558216897179667,swiss
O=C(Nc1cc(F)cc(c1)F)N/N=C(/c1ncccc1C(=O)O)\C,-0.14983469671578495,swiss
OCC1OC2OC3C(CO)OC(C(C3O)O)OC3C(CO)OC(C(C3O)O)OC3C(CO)OC(C(C3O)O)OC3C(OC(OC4C(OC(OC5C(OC(OC1C(C2O)O)C(O)C5O)CO)C(O)C4O)CO)C(O)C3O)CO,-0.1491266997426143,mazzatorta
COc1ncc(c2n1nc(n2)S(=O)(=O)Nc1c(F)cccc1F)F,-0.143545627238422,swiss
Oc1ccc(c(c1)C(C)(C)C)O,-0.1315224289130697,mazzatorta
COc1cc(OC)nc(n1)NC(=O)NS(=O)(=O)N(S(=O)(=O)C)C,-0.12749354475678243,swiss
OC1CCC2(C(C1)CCC1C2CCC2(C1CCC2C(CCC(=O)O)C)C)C,-0.12313266431090161,mazzatorta
C[N]1(C)CCCCC1,-0.11839701195157529,mazzatorta
COC(=O)Nc1nc2c([nH]1)cccc2,-0.11647491190833141,swiss
CC1=CC(=O)CC(C1)(C)C,-0.1123368357453173,mazzatorta
OC(=O)C(CCP(=O)(O)C)N,-0.10167835102796928,swiss
FC(Cl)(Cl)F,-0.09363177682894759,mazzatorta
OCc1cc(N=Nc2ccc(c3c2cccc3)S(=O)(=O)O)c(c(c1O)N=Nc1ccc(c2c1cccc2)S(=O)(=O)O)O,-0.08253405287271362,mazzatorta
OC(=O)Cc1cccc2c1cccc2,-0.0812392609116973,swiss
CON=C(c1ccccc1COc1ccccc1C)C(=O)OC,-0.07802158052038617,mazzatorta
CO/N=C(\c1ccccc1COc1ccccc1C)/C(=O)OC,-0.07802158052038617,swiss
CCCOc1nn(c(=O)n1C)C(=O)[N-]S(=O)(=O)c1ccccc1C(=O)OC.[Na+],-0.07532793416325864,swiss
CON=C(c1ccccc1COc1ccccc1C)C(=O)OC,-0.07217634447896637,mazzatorta
COc1cc(OC)nc(n1)NC(=O)NS(=O)(=O)Nc1ccccc1C(=O)N(C)C,-0.07114529045108281,swiss
Oc1ccccc1c1ccccc1,-0.07003786660775509,swiss
Oc1ccc(cc1Cl)C(C)(C)C,-0.06807448990764815,mazzatorta
[O-][N+](=O)c1cc(Cl)c(c(c1)Cl)N,-0.06419583586464264,mazzatorta
BrC#N,-0.0613770741938875,mazzatorta
C#N,-0.05960127976275395,mazzatorta
ClC#N,-0.05644745847491751,mazzatorta
COC(=O)C(=CC=CC(=CC=CC=C(C=CC=C(C=CC1=C(C)CCCC1(C)C)C)C)C)C,-0.04898530257071102,mazzatorta
COc1cccc(c1C)C(=O)NN(C(C)(C)C)C(=O)c1cc(C)cc(c1)C,-0.04743064015554219,mazzatorta and swiss
Cc1cc(C)nc(n1)Nc1ccccc1,-0.04497070529276922,swiss
O=C1CCCCCN1,-0.04324435400848393,mazzatorta
CCOC(=O)CC(C(=O)OCC)SP(=S)(OC)OC,-0.03730695089709131,mazzatorta
Clc1ccccc1,-0.027797943350299427,mazzatorta
ClCC[N+](C)(C)C,-0.025387799890407722,mazzatorta
ClCCP(=O)(O)O,-0.016239191042638865,mazzatorta
OC(=O)c1nc(Cl)c(c(c1Cl)N)Cl,-0.015108160645837197,swiss
CC[N](=C1C=CC(=C(c2ccc(cc2)N(Cc2cccc(c2)S(=O)(=O)O)CC)c2ccc(cc2)N(C)C)C=C1)Cc1cccc(c1)S(=O)(=O)O,-0.004321373782642578,mazzatorta
Oc1noc(c1)C,0.0003866941933463142,swiss
CCCOC(=O)c1ccc(cn1)C(=O)OCCC,0.00221620394895718,mazzatorta
Oc1cccc2c1nccc2,0.00650645523101598,mazzatorta
O=C(C1(C)CCCCC1)Nc1ccc(c(c1Cl)Cl)O,0.014905998457995392,mazzatorta and swiss
O=N(=O)c1cccc2c1cccc2,0.020984577481043508,mazzatorta
OCCNc1ccc(cc1OCCO)N(=O)=O,0.024388995821753138,mazzatorta
Nc1nc(NC2CC2)nc(n1)N,0.027463929127743564,swiss
COP(=O)OC,0.04158425126817697,mazzatorta
ClCCP(=O)(O)O,0.042579494938849424,swiss
OCCn1c(C)ncc1[N+](=O)[O-],0.05729763111133231,mazzatorta
CCCCNC(=O)n1c(NC(=O)OC)nc2c1cccc2,0.0649312805778938,mazzatorta
ClCC[N+](C)(C)C.[Cl-],0.0653096935781494,swiss
CCOC(=O)C1OC1(C)c1ccccc1,0.0713276803117519,mazzatorta
Nc1ccc(c(c1)C)NOS(=O)(=O)O,0.074095155651381,mazzatorta
OC(=O)c1nc(Cl)c(c(c1Cl)N)Cl,0.08181233864107436,swiss
CCOc1cc(ccc1OCC)NC(=O)OC(C)C,0.0840200858597756,swiss
OC(C(Cl)(Cl)Cl)O,0.08820873052749173,mazzatorta
COC(CCCC(C/C=C/C(=C/C(=O)OC(C)C)/C)C)(C)C,0.0940800532173745,swiss
ClC(Br)Cl,0.10044759579324952,mazzatorta
ClCC[N+](C)(C)C.[Cl-],0.10193883123023993,swiss
COC(=O)NS(=O)(=O)c1ccc(cc1)N,0.10690988899790645,mazzatorta and swiss
Clc1ccc(c(n1)C(=O)O)Cl,0.10720996964786836,swiss
Clc1ccc(c(n1)C(=O)O)Cl,0.10720996964786836,swiss
COc1cc(OC)nc(n1)NC(=O)NS(=O)(=O)Cc1ccccc1C(=O)O,0.10815045306512698,swiss
CCOc1nc(F)cc2n1nc(n2)S(=O)(=O)Nc1c(Cl)cccc1C(=O)OC,0.1213920435061682,swiss
O=C(C1C(C1(C)C)C=C(C)C)OCN1C(=O)C2=C(C1=O)CCCC2,0.12242134816022694,mazzatorta
COc1nc(nc(c1)OC)NC(=O)NS(=O)(=O)Cc1ccccc1C(=O)OC,0.12325116643447916,mazzatorta
CCCCOCCOCCOCc1cc2OCOc2cc1CCC,0.13153778019143403,mazzatorta
[O-][N+](=O)c1cc(Cl)c(c(c1)Cl)N,0.1399076639183564,mazzatorta
CC1OC(C)OC(C1)OC(=O)C,0.1441236220474085,mazzatorta
ClCC(=O)N(c1c(C)cccc1CC)COC(C)C,0.15197107789074285,swiss
CCCCOCC(OCC(O)C)C,0.17218502835569832,mazzatorta
CCCOC(=O)NCCCN(C)C.Cl,0.17556824925514547,swiss
COc1nc(nc(n1)C)NC(=O)NS(=O)(=O)c1ccccc1C(=O)OC,0.18340080321223973,mazzatorta
CC(OC(=O)NC(C(=O)NC(c1nc2c(s1)cc(cc2)F)C)C(C)C)C,0.18420980481719604,swiss
Clc1ccc(cc1)S(=O)(=O)c1cc(Cl)c(cc1Cl)Cl,0.18978765094763042,mazzatorta
COC(=O)c1ccc(cc1)C(=O)OC,0.19130299738850176,mazzatorta
ClC(C(Cl)Cl)Cl,0.1914986939302926,mazzatorta
OC1(Cn2ncnc2)/C(=C/c2ccc(cc2)Cl)/CCC1(C)C,0.19339272766191082,swiss
COc1c(OC)cc(c(c1OC)C(=O)c1c(OC)ccc(c1C)Br)C,0.19703481698704578,swiss
CN(C(=O)Nc1ccc(cc1)Cl)C,0.2011767757795997,mazzatorta
O=Cc1ccco1,0.2045023300575414,mazzatorta and swiss
ClCCl,0.20825322607906688,mazzatorta
OC(=O)C1C2CCC(C1C(=O)O)O2,0.20919427624554426,mazzatorta
COCCN(c1c(C)cccc1C)C(=O)CCl,0.21190236661970266,swiss
NC1CCCCC1,0.21824462534753114,mazzatorta
COc1cc(Cl)c(cc1Cl)OC,0.21917163032699746,mazzatorta
COC(=O)c1csc(c1S(=O)(=O)NC(=O)n1nc(n(c1=O)C)OC)C,0.22228326139037405,swiss
NC1CCCCC1,0.22924369090623128,mazzatorta
ClCCl,0.230105964187831,mazzatorta
CCCN(c1c(cc(cc1[N+](=O)[O-])C(F)(F)F)[N+](=O)[O-])CCCl,0.2448724686893053,mazzatorta
Nc1ccc(c(c1)N(=O)=O)N,0.24556756610630756,mazzatorta
[O-][N+](=O)c1cc(Cl)c(c(c1)Cl)N,0.2478132149114476,swiss
ClCCOc1ccccc1S(=O)(=O)NC(=O)Nc1nc(C)nc(n1)OC,0.26004020676066664,mazzatorta
Oc1ccc2c(c1N=Nc1ccccc1)ccc(c2)S(=O)(=O)O,0.26105304667829976,mazzatorta
Clc1ccc(cc1)CN(C(=O)Nc1ccccc1)C1CCCC1,0.26170314076675805,swiss
CC(C12CCC(O2)(C(C1)OCc1ccccc1C)C)C,0.26229064755923226,mazzatorta
COC(=O)c1cc(ccc1[N+](=O)[O-])Oc1ccc(cc1Cl)Cl,0.26235420943811166,swiss
COC(=O)C1(O)c2cc(Cl)ccc2c2c1cccc2,0.2627675885591969,mazzatorta
[O-][N+](=O)/N=C\1/N(Cc2cnc(s2)Cl)COCN1C,0.2746274885785479,swiss
O=CCC1CC(C)C(=O)C=CC(=CC(C(OC(=O)CC(C(C1OC1(C)OC(C)C(C(C1O)N(C)C)OC1(C)OC(C)C(C(C1)(C)O)O)C)O)CC)COC1OC(C)C(C(C1OC)OC)O)C,0.2760684247270624,mazzatorta
COCC(N(c1c(C)cccc1CC)C(=O)CCl)C,0.27691392283721084,mazzatorta and swiss
CCOc1cc(ccc1C1COC(=N1)c1c(F)cccc1F)C(C)(C)C,0.28374617410396336,swiss
COc1c(Cl)ccc(c1C(=O)O)Cl,0.28377121583005716,mazzatorta
CCCCC(COC(=O)c1ccccc1C(=O)OCC(CCCC)CC)CC,0.29065370490612896,mazzatorta
CCOc1nc(nc(n1)NC)NC(=O)NS(=O)(=O)c1ccccc1C(=O)OC,0.29099307039793554,swiss
CCCOC(=O)NCCCN(C)C.Cl,0.29475225982109493,swiss
N#Cc1c[nH]cc1c1cccc(c1Cl)Cl,0.2957207588154646,swiss
CCOC(=O)OC1=C(C(=O)NC21CCC(CC2)OC)c1cc(C)ccc1C,0.29576366269121235,swiss
CCOC(=O)OC1=C(C(=O)NC21CCC(CC2)OC)c1cc(C)ccc1C,0.29576366269121235,swiss
O=c1[nH]c2CCCc2c(=O)n1C1CCCCC1,0.2978797847408851,swiss
ClC(Cl)Cl,0.29876887487274084,mazzatorta
