SMILES,mazzatorta,swiss
CC(C1(C)N=C(NC1=O)c1nc2ccccc2cc1C(=O)O)C,1.192201228281402,-0.20574554094266215
N#CC(c1cccc(c1)Oc1ccccc1)OC(=O)C1C(C1(C)C)(C)C,1.199920981217902,1.2211327542550814
CC(OC(=O)C(c1ccc(cc1)Br)(c1ccc(cc1)Br)O)C,1.2165895677016367,1.2182589824272165
COCN(c1c(CC)cccc1CC)C(=O)CCl,1.2548939653344497,1.181832402228591
O=C1N(c2cc(Cl)cc(c2)Cl)C(=O)C2(C1(C)C2)C,1.2774401112445704,0.7722932179393288
Cc1ccc(cc1)N(S(=O)(=O)N(C)C)SC(Cl)(Cl)F,1.285376897128516,0.5635340124406267
Clc1ccc(cc1)CCC(C(C)(C)C)(Cn1cncn1)O,1.2868960417984983,0.747924056200199
CON(C(=O)Nc1ccc(cc1)Br)C,1.3165566912097522,1.8429362996173768
CN(C(=S)SSC(=S)N(C)C)C,1.3202996191280358,1.5176696240691985
CC1=C(C)S(=O)(=O)CCS1(=O)=O,1.322776417451734,0.6238064131157152
O=C1OC(C(=O)N1Nc1ccccc1)(C)c1ccc(cc1)Oc1ccccc1,1.3480148945878891,1.3428771906003532
COP(=S)(SCN1C(=O)c2c(C1=O)cccc2)OC,1.3738648104853515,2.0728240963267153
CNC(=O)Oc1cc(C)c(c(c1)C)SC,1.3842918746267547,0.9056337016638656
CC(N(C(=O)SCC(=C(Cl)Cl)Cl)C(C)C)C,1.386909067965439,1.459598624189296
CC(C(c1cncnc1)(c1ccc(cc1)OC(F)(F)F)O)C,1.411773125869789,1.1817113326221342
OC(=O)C(Oc1ccc(cc1Cl)Cl)C,1.4169486617141684,0.8088844776196935
CCCCC(c1ccc(cc1)Cl)(Cn1cncn1)C#N,1.468451742160401,0.9500861447485645
CCOCn1c(c2ccc(cc2)Cl)c(c(c1C(F)(F)F)Br)C#N,1.47670887081321,1.4341521813264824
Clc1ccc(c(c1)Cl)C1(OCCO1)Cn1cncn1,1.4773210761437898,1.370111513834565
CCOC(=O)NCCOc1ccc(cc1)Oc1ccccc1,1.4790581780219383,1.086355661467734
O=C(N(C)C)Nc1ccc(c(c1)Cl)Cl,1.5805145886084953,2.137081876700897
O=C(NC(=O)c1c(F)cccc1F)Nc1ccc(cc1)Cl,1.600222475511201,0.3954067884187704
CNC(=O)ON=C(C(=O)N(C)C)SC,1.6419889676679056,1.6847503251284301
N#CC(c1ccc(c(c1)Oc1ccccc1)F)OC(=O)C1C(C1(C)C)C=C(Cl)Cl,1.6606555297890866,1.3171600908440846
OC(=O)COc1ccc(cc1C)Cl,1.7003184083376452,1.0236179201622833
CCN(C(=O)SCc1ccc(cc1)Cl)CC,1.7122878245565132,1.777777917639287
OC(=O)C(CCP(=O)(O)C)N,1.7139254461244264,-0.10167835102796928
CCN(c1nc(cc(n1)C)OP(=S)(OC)OC)CC,1.7158663871203643,2.1625567716931373
OC(C(Cl)(Cl)Cl)(c1ccc(cc1)Cl)c1ccc(cc1)Cl,1.7192871730347057,2.22634517935135
CCCN(C(=O)n1cncc1)CCOc1c(Cl)cc(cc1Cl)Cl,1.7846332260251687,1.2435160355573907
ClCC1CN(C(=O)C1Cl)c1cccc(c1)C(F)(F)F,1.7953374882517812,1.2984147471171126
N#Cc1c(Cl)c(C#N)c(c(c1Cl)Cl)Cl,1.8226655444942998,1.364446881497785
N#Cc1c(Cl)cccc1Cl,1.8376148441427587,1.7304170139333868
CC(Oc1cc(c(cc1Cl)Cl)n1nc(oc1=O)C(C)(C)C)C,1.8391414693200085,1.9817989775037086
CCCSP(=O)(SCCC)OCC,1.953075825769965,2.3412361650066673
CON(C(=O)Nc1ccc(c(c1)Cl)Cl)C,1.9984393473574271,0.9015293343493707
CCOC(=O)C(Oc1ccc(cc1)Oc1cnc2c(n1)ccc(c2)Cl)C,2.0032782361791086,1.3811468505131965
CCOP(=S)(Oc1cc(C)nc(n1)C(C)C)OCC,2.013610946662931,1.7843888703871507
COP(=S)(Oc1nc(Cl)c(cc1Cl)Cl)OC,2.031451678702528,2.5085682643170304
CCCCOC(=O)C(Oc1ccc(cc1)Oc1ccc(cn1)C(F)(F)F)C,2.106487904221944,2.0049706079134992
COP(=S)(SCn1nnc2c(c1=O)cccc2)OC,2.149323138641405,2.0701418925937802
Clc1ccc(cc1)C(c1ccccc1Cl)(c1cncnc1)O,2.1583590177532916,2.04295777497737
