InChI,pTD50
"InChI=1S/C12H12N2O/c13-9-1-5-11(6-2-9)15-12-7-3-10(14)4-8-12/h1-8H,13-14H2",4.32336294544294
"InChI=1S/C12H12N2O2S/c13-9-1-5-11(6-2-9)17(15,16)12-7-3-10(14)4-8-12/h1-8H,13-14H2",4.04473202444375
"InChI=1S/C12H12N2O3/c1-2-12(8-6-4-3-5-7-8)9(15)13-11(17)14-10(12)16/h3-7H,2H2,1H3,(H2,13,14,15,16,17)",3.43142996938231
"InChI=1S/C12H12N2O3/c1-3-14-6-9(12(16)17)10(15)8-5-4-7(2)13-11(8)14/h4-6H,3H2,1-2H3,(H,16,17)",3.06273236320539
"InChI=1S/C12H12N2S/c13-9-1-5-11(6-2-9)15-12-7-3-10(14)4-8-12/h1-8H,13-14H2",4.76568903484514
"InChI=1S/C12H13N3O2/c16-9-7-8(13-1-2-13)12(17)11(15-5-6-15)10(9)14-3-4-14/h7H,1-6H2",7.6616523317822
"InChI=1S/C12H14N2O/c1-9-8-12(2,3)14(13-15)11-7-5-4-6-10(9)11/h4-8H,1-3H3",4.78606569003429
"InChI=1S/C12H14O4/c1-2-9(13-5-11-7-15-11)4-10(3-1)14-6-12-8-16-12/h1-4,11-12H,5-8H2",4.76932495684911
"InChI=1S/C12H15ClO3/c1-4-15-11(14)12(2,3)16-10-7-5-9(13)6-8-10/h5-8H,4H2,1-3H3",3.157180208622
"InChI=1S/C12H19N3O/c1-9(2)15-12(16)11-6-4-10(5-7-11)8-14-13-3/h4-7,9,13-14H,8H2,1-3H3,(H,15,16)",5.79967213873971
"InChI=1S/C12H19NO3/c1-12(2,3)13-7-11(16)8-4-9(14)6-10(15)5-8/h4-6,11,13-16H,7H2,1-3H3",2.73994687742118
"InChI=1S/C12H26N2O/c1-3-4-5-6-7-8-9-10-11-12-14(2)13-15/h3-12H2,1-2H3",4.95637048178212
"InChI=1S/C12H27O4P/c1-4-7-10-14-17(13,15-11-8-5-2)16-12-9-6-3/h4-12H2,1-3H3",3.14436079352124
"InChI=1S/C12H8O4/c1-14-12-10-8(4-5-15-10)6-7-2-3-9(13)16-11(7)12/h2-6H,1H3",3.82428958689081
"InChI=1S/C12H9N3O3S/c16-12-7-3-1-2-4-8(7)13-11(14-12)9-5-6-10(19-9)15(17)18/h1-6,11,13H,(H,14,16)",5.25509001262151
