"SMILES","LOAEL parental as dose (mg/kg bw per day)"
"O=P(OCC)(SC(C)CC)SC(C)CC",0.141000002622604
"C1CNC(=S)NC1",0.200000002980232
"CC(C(O)=O)OC2=CC=C(C=C2)OC1=C(Cl)C=C(C(F)(F)F)C=N1",0.600000023841858
"FC(F)(F)C1=CC(NC(N(C)C)=O)=CC=C1",0.750000000000000
"CC(OC1=CC=C(OC2=CC=C(Cl)C=C2Cl)C=C1)C(OC)=O",0.769999980926514
"CCSCSP(OCC)(OCC)=S",0.899999976158142
"S=P(OCC)(OCC)SCSC(C)(C)C",0.899999976158142
"ClC(C(SCC(O)=O)=C3)=CC(F)=C3\N=C2/SC(N1CCCCN12)=O",1.000000000000000
"O=C(N(COCC)C1=C(CC)C=CC=C1C)CCl",1.100000023841860
"S=P(OCC)(OCC)SCSP(OCC)(OCC)=S",1.169999957084660
"ClC(C=C(C=C1Cl)C(F)(F)F)=C1N2N=C(C(S(C(F)(F)F)=O)=C2N)C#N",1.180999994277950
"CCS(CCSP(OC)(OC)=O)(=O)=O",1.250000000000000
"[O-][N+]2=NC(N3C=CN=C3)=NC1=CC=C(Cl)C=C12",1.399999976158140
"ClC1(C(Cl)=C2Cl)C(C3Cl)C(C=C3)C2(Cl)C(Cl)1Cl",1.500000000000000
"FC(F)C1=NC(C(F)(F)F)=C(C2=NCCS2)C(CC(C)C)=C1C(OC)=O",1.600000023841860
"FC1=CC=CC(F)=C1C(NC(NC2=CC(Cl)=C(C(Cl)=C2F)F)=O)=O",2.099999904632570
"CCOP(OCC)(SCN1C(OC2=C1C=CC(Cl)=C2)=O)=S",2.299999952316280
"O=S3OCC1C(CO3)C2(Cl)C(Cl)=C(Cl)C(Cl)1C(Cl)2Cl",2.500000000000000
"O=P(OC)(OC)SCCS(CC)=O",2.500000000000000
"CC(C)(C)C1=CC=C(CSC2=C(Cl)C(N(C(C)(C)C)N=C2)=O)C=C1",2.779999971389770
"FC(F)(F)C1=CC(Cl)=C(OC2=CC=C([N+]([O-])=O)C(OCC)=C2)C=C1",2.799999952316280
"[O][N](N=C(NC)NCC1COCC1)=O",3.000000000000000
"BrC1=CC=C(NC(N(C)OC)=O)C=C1",3.000000000000000
"[O-][N+](C(C(Cl)=C(Cl)C(Cl)=C1Cl)=C1Cl)=O",3.000000000000000
"BrC1=CC(C#N)=CC(Br)=C1O",3.099999904632570
"O=P(SC)(OC)N",3.500000000000000
"O=P(OC)(OC)SCCSCC",3.599999904632570
"S=P(OC)(OC)SCC(NC)=O",3.599999904632570
"S=P(OC)(OC)SCN1N=NC(C=CC=C2)=C2C1=O",3.799999952316280
"O=C2C(N)=C(Cl)C(C1=CC=CC=C12)=O",3.819999933242800
"O=P(SCCC)(OCC)SCCC",4.000000000000000
"C1CNC(=S)NC1",4.000000000000000
"O=C1OC3(CCCCC3)C(OC(C(C)(C)CC)=O)=C1C2=C(Cl)C=C(Cl)C=C2",4.099999904632570
"N#CC1=C(Cl)C(Cl)=C(Cl)C(C#N)=C1Cl",4.190000057220460
"O=C(CCC1)C(C(C2=CC=C(S(=O)(C)=O)C(COCC(F)(F)F)=C2Cl)=O)C1=O",4.199999809265140
"CCOP(OC2=NN(C=N2)C1=CC=CC=C1)(OCC)=S",4.199999809265140
"O=C(OCC)NCCOC1=CC=C(OC2=CC=CC=C2)C=C1",4.400000095367430
"CC1(CNC(=NC1)NN=C(C=CC2=CC=C(C=C2)C(F)(F)F)C=CC3=CC=C(C=C3)C(F)(F)F)C",4.449999809265140
"CCC(C)C1C(C=CC2(O1)CC3CC(O2)CC=C(C(C(C=CC=C4COC5C4(C(C=C(C5O)C)C(=O)O3)O)C)OC6CC(C(C(O6)C)OC7CC(C(C(O7)C)NC)OC)OC)C)C.C1=CC=C(C=C1)C(=O)O",5.000000000000000
"O=C(N(OC)C)NC1=CC=C(Cl)C=C1",5.599999904632570
"C[N+](C=C2)=CC=C2C1=CC=[N+](C)C=C1",5.619999885559080
"CCN(CCCC)C1=C([N+]([O-])=O)C=C(C(F)(F)F)C=C1[N+]([O-])=O",6.000000000000000
"O[Sn](C2CCCCC2)(C3CCCCC3)C1CCCCC1",6.000000000000000
"OC(C2=CC=C(F)C=C2)(C3=C(F)C=CC=C3)CN1C=NC=N1",6.010000228881840
"S=P(OC1=NC(Cl)=C(Cl)C=C1Cl)(OCC)OCC",6.099999904632570
"S=P(OC)(OC)SCN1C(SC(OC)=N1)=O",6.989999771118160
"O=C2C(CCCCCCCCCCCC)=C(OC(C)=O)C(C1=CC=CC=C12)=O",7.000000000000000
"S=C(S)NC",7.199999809265140
"FC(F)(F)C(S2)=NN=C2OCC(N(C(C)C)C1=CC=C(F)C=C1)=O",7.400000095367430
"ClC1=CC=C(C(C(C)C)C(OC(C#N)C2=CC(OC3=CC=CC=C3)=CC=C2)=O)C=C1",7.500000000000000
"ClC1=CC=C2C(N=CC(OC3=CC=C(OC(C)C(OCCO/N=C(C)/C)=O)C=C3)=N2)=C1",7.500000000000000
"N4(N=CN=C4)[Sn](C2CCCCC2)(C3CCCCC3)C1CCCCC1",7.579999923706050
"CC(C(OCCCC)=O)OC1=CC=C(OC2=CC=C(C(F)(F)F)C=N2)C=C1",7.710000038146970
"ClC1C(Cl)C(Cl)C(Cl)C(Cl)C1Cl",7.800000190734860
