InChI,LOAEL_log_mol_kg_bw_day
"InChI=1S/C10H12N3O3PS2/c1-15-17(18,16-2)19-7-13-10(14)8-5-3-4-6-9(8)11-12-13/h3-6H,7H2,1-2H3",5.94520088604013
"InChI=1S/C10H12O/c1-3-4-9-5-7-10(11-2)8-6-9/h3-8H,1-2H3",2.63429468422019
"InChI=1S/C10H12O3/c1-2-7-13-10(12)8-3-5-9(11)6-4-8/h3-6,11H,2,7H2,1H3",2.07966468441907
"InChI=1S/C10H12O5/c1-2-3-15-10(14)6-4-7(11)9(13)8(12)5-6/h4-5,11-13H,2-3H2,1H3",2.3902301635117
"InChI=1S/C10H13Cl2FN2O2S2/c1-8-4-6-9(7-5-8)15(18-10(11,12)13)19(16,17)14(2)3/h4-7H,1-3H3",4.28537828278078
"InChI=1S/C10H13ClO/c1-10(2,3)7-4-5-9(12)8(11)6-7/h4-6,12H,1-3H3",2.93192524190336
"InChI=1S/C10H14Cl6N4O2/c11-9(12,13)7(17-5-21)19-1-2-20(4-3-19)8(18-6-22)10(14,15)16/h5-8H,1-4H2,(H,17,21)(H,18,22)",3.63845107729718
"InChI=1S/C10H14N2O2/c1-3-14-10-5-4-8(6-9(10)11)12-7(2)13/h4-6H,3,11H2,1-2H3,(H,12,13)",2.21459876477238
"InChI=1S/C10H14N2O5/c13-4-3-11-9-2-1-8(12(15)16)7-10(9)17-6-5-14/h1-2,7,11,13-14H,3-6H2",3.02438986505162
"InChI=1S/C10H14NO5PS/c1-3-14-17(18,15-4-2)16-10-7-5-9(6-8-10)11(12)13/h5-8H,3-4H2,1-2H3",4.9202137267914
"InChI=1S/C10H14NO5PS/c1-3-14-17(18,15-4-2)16-10-7-5-9(6-8-10)11(12)13/h5-8H,3-4H2,1-2H3",5.84103248074378
"InChI=1S/C10H14O2/c1-10(2,3)8-6-7(11)4-5-9(8)12/h4-6,11-12H,1-3H3",2.86849281697225
"InChI=1S/C10H15N5/c11-9(12)15-10(13)14-7-6-8-4-2-1-3-5-8/h1-5H,6-7H2,(H6,11,12,13,14,15)",3.44898061811695
"InChI=1S/C10H15O3PS2/c1-8-7-9(5-6-10(8)16-4)13-14(15,11-2)12-3/h5-7H,1-4H3",4.87052572632858
"InChI=1S/C10H15O3PS2/c1-8-7-9(5-6-10(8)16-4)13-14(15,11-2)12-3/h5-7H,1-4H3",5.58722449762503
"InChI=1S/C10H15O3PS2/c1-8-7-9(5-6-10(8)16-4)13-14(15,11-2)12-3/h5-7H,1-4H3",5.79134448028095
"InChI=1S/C10H15OPS2/c1-3-11-12(13,4-2)14-10-8-6-5-7-9-10/h5-9H,3-4H2,1-2H3",4.6925459996104
"InChI=1S/C10H15OPS2/c1-3-11-12(13,4-2)14-10-8-6-5-7-9-10/h5-9H,3-4H2,1-2H3",5.192858916992
"InChI=1S/C10H16Cl3NOS/c1-6(2)14(7(3)4)10(15)16-5-8(11)9(12)13/h6-7H,5H2,1-4H3",4.38691132629296
"InChI=1S/C10H16N4O2S/c1-10(2,3)7-11-12-8(17-7)14-6(15)5-13(4)9(14)16/h6,15H,5H2,1-4H3",3.70982035175725
"InChI=1S/C10H17N2O4PS/c1-5-8-11-9(15-6-2)7-10(12-8)16-17(18,13-3)14-4/h7H,5-6H2,1-4H3",5.8126040303238
