"SMILES","LOAEL parental as dose (mg/kg bw per day)"
"CCC(C)C1C(C=CC2(O1)CC3CC(O2)CC=C(C(C(C=CC=C4COC5C4(C(C=C(C5O)C)C(=O)O3)O)C)OC6CC(C(C(O6)C)OC7CC(C(C(O7)C)NC)OC)OC)C)C.C1=CC=C(C=C1)C(=O)O",2.500000000000000
"OC(C2=C(Cl)C=CC=C2)(C3=CN=CN=C3)C1=CC=C(Cl)C=C1",2.500000000000000
"O=C(OC(C#N)C3=CC(OC4=CC=CC=C4)=C(F)C=C3)C(C(C)2C)C2/C=C(Cl)/C1=CC=C(Cl)C=C1",2.500000000000000
"CCOP(=S)(OCC)OC1=CC=C(C=C1)[N+](=O)[O-]",2.500000000000000
"S=P(OC)(OC)OC1=CC=C([N+]([O-])=O)C=C1",2.500000000000000
"N#C/N=C1SCCN/1CC2=CC=C(Cl)N=C2",2.500000000000000
"CN(C)C(S[Zn]SC(N(C)C)=S)=S",2.500000000000000
"C[N+](C=C2)=CC=C2C1=CC=[N+](C)C=C1",2.549999952316280
"S=P(OC)(OC)SCN1N=NC(C=CC=C2)=C2C1=O",2.700000047683720
"O=C(OC(C)1C=C)N(C2=CC(Cl)=CC(Cl)=C2)C1=O",2.700000047683720
"O=C2C(N)=C(Cl)C(C1=CC=CC=C12)=O",2.890000104904170
"O=S3OCC1C(CO3)C2(Cl)C(Cl)=C(Cl)C(Cl)1C(Cl)2Cl",2.900000095367430
"[N+]12=CC=CC=C1C3=[N+](C=CC=C3)CC2",2.910000085830690
"O=C(OC(C)(C)C)C1=CC=C(CO/N=C/C2=C(OC3=CC=CC=C3)N(C)N=C2C)C=C1",3.000000000000000
"CCNC1=NC(NC(C)C)=NC(Cl)=N1",3.099999904632570
"O=C(OCC)NC1=CC=CC(OC(NC2=CC=CC=C2)=O)=C1",3.200000047683720
"N#CC(C(Cl)=CC=C1)=C1Cl",3.200000047683720
"CCS(=O)C1=C(N(N=C1C#N)C2=C(C=C(C=C2Cl)C(F)(F)F)Cl)N",3.200000047683720
"N#CC1=C(Cl)C(Cl)=C(Cl)C(C#N)=C1Cl",3.299999952316280
"FC(C(F)(OCC(C2=CC=C(C=C2Cl)Cl)CN1C=NC=N1)F)F",3.400000095367430
"N#CC1=CC(F)=C(OC2=CC=C(OC(C)C(OCCCC)=O)C=C2)C=C1",3.440000057220460
"CN(CN1C)CSC1=S",3.599999904632570
"OC(C2=C(Cl)C=CC=C2)(C3=CN=CN=C3)C1=CC=C(Cl)C=C1",3.599999904632570
"ClC1=CC=C(C2=NN(C(N(C(OC)=O)C4=CC=C(OC(F)(F)F)C=C4)=O)COC(C(OC)=O)2C3)C3=C1",3.599999904632570
"O=C(OC(C(C)(C)C)=N2)N2C1=CC(OC(C)C)=C(Cl)C=C1Cl",3.599999904632570
"CC1=C(C2=NOCC2)C(S(C)(=O)=O)=CC=C1C(C3=C(O)N(C)N=C3)=O",3.599999904632570
"BrC1=CC=C(NC(N(C)OC)=O)C=C1",3.720000028610230
"C[N+](C=C2)=CC=C2C1=CC=[N+](C)C=C1",3.750000000000000
"CC(C(OCCCC)=O)OC1=CC=C(OC2=CC=C(C(F)(F)F)C=N2)C=C1",3.789999961853030
"ClC1=C([N+]([O-])=O)C(NC2=NC=C(C(F)(F)F)C=C2Cl)=C([N+]([O-])=O)C=C1C(F)(F)F",3.819999933242800
"COC(C(NNC(OC(C)C)=O)=C2)=CC=C2C1=CC=CC=C1",3.900000095367430
"[N+]12=CC=CC=C1C3=[N+](C=CC=C3)CC2",3.900000095367430
"ClC1=C([N+]([O-])=O)C(NC2=NC=C(C(F)(F)F)C=C2Cl)=C([N+]([O-])=O)C=C1C(F)(F)F",3.900000095367430
"S=P(OC)(OC)SCN1C(C(C=CC=C2)=C2C1=O)=O",4.000000000000000
"O=C(C(C(C)=N2)=CN1C2=CC(OP(OCC)(OCC)=S)=N1)OCC",4.000000000000000
"CNC(ON=C(SC)C(N(C)C)=O)=O",4.190000057220460
"FC(F)(F)C1=CC=C(C(S(C)(=O)=NC#N)C)C=N1",4.239999771118160
"S=C(S)NC",4.300000190734860
"O=C(N(CC)CC)SCC1=CC=C(Cl)C=C1",4.300000190734860
"CC(C)(C1=CC=C(CCOC2=NC=NC3=CC=CC=C23)C=C1)C",4.500000000000000
"ClC1C(Cl)C(Cl)C(Cl)C(Cl)C1Cl",4.699999809265140
"O=C2C1=CC(F)=CC=C1N=C(N4N=CN=C4)N2C3=C(Cl)C=C(Cl)C=C3",4.769999980926510
