InChI,XLogP,ALogp2,nAtomP,ALogP,nB,AMR,nAtom,MLogP,nRotB
"InChI=1S/C11H10N4/c1-15-9-5-4-8-7(3-2-6-13-8)10(9)14-11(15)12/h2-6H,1H3,(H2,12,14)",2.85199999809265,0.134835839271545,14.0,-0.36719998717308,17.0,16.8964004516602,25.0,2.23000001907349,0.0
"InChI=1S/C11H10N4/c1-7-3-2-6-15-10(7)13-8-4-5-9(12)14-11(8)15/h2-6H,1H3,(H2,12,14)",1.86600005626678,0.00364816002547741,3.0,-0.0604000017046928,17.0,41.2084999084473,31.0,2.23000001907349,0.0
"InChI=1S/C11H10N6O5/c1-5(18)12-10-14-9(15-11(16-10)13-6(2)19)7-3-4-8(22-7)17(20)21/h3-4H,1-2H3,(H2,12,13,14,15,16,18,19)",1.70799994468689,0.118404813110828,20.0,-0.344099998474121,23.0,32.3064994812012,32.0,1.46000003814697,4.0
"InChI=1S/C11H11N3O3/c12-10(15)6-9-11(16)17-13-14(9)7-8-4-2-1-3-5-8/h1-5H,6-7H2,(H2-,12,13,15,16)/p+1",1.87100005149841,0.673876821994781,6.0,-0.820900022983551,18.0,33.0758018493652,33.0,2.00999999046326,4.0
"InChI=1S/C11H11N5/c1-6-5-13-7-3-4-8-10(9(7)14-6)15-11(12)16(8)2/h3-5H,1-2H3,(H2,12,15)",2.33800005912781,0.00522729009389877,14.0,0.0723000019788742,18.0,22.6289005279541,27.0,2.11999988555908,0.0
"InChI=1S/C11H11N5/c12-10-7-6-9(11(13)14-10)16-15-8-4-2-1-3-5-8/h1-7H,(H4,12,13,14)",3.03500008583069,2.28010010719299,8.0,-1.50999999046326,17.0,26.8635005950928,31.0,2.11999988555908,2.0
"InChI=1S/C11H12N2O/c1-9-8-11(14)13(12(9)2)10-6-4-3-5-7-10/h3-8H,1-2H3",2.00799989700317,0.233868956565857,10.0,-0.483599990606308,15.0,29.8819999694824,28.0,2.33999991416931,1.0
"InChI=1S/C11H13N5O4/c1-15(2)7-12-11-14-13-9(20-11)5-3-8-4-6-10(19-8)16(17)18/h3-6H,7H2,1-2H3,(H,12,14)",2.2260000705719,0.695222437381744,10.0,-0.83380001783371,21.0,49.9392013549805,35.0,1.67999994754791,5.0
"InChI=1S/C11H14N2O4/c1-8(2)16-9-6-4-5-7-10(9)17-11(14)13(3)12-15/h4-8H,1-3H3",2.65799999237061,0.0985332131385803,13.0,0.313899993896484,17.0,37.4609985351562,31.0,2.00999999046326,6.0
"InChI=1S/C11H14N2O4/c12-10(14)16-6-9(7-17-11(13)15)8-4-2-1-3-5-8/h1-5,9H,6-7H2,(H2,12,14)(H2,13,15)",4.34600019454956,0.42968025803566,6.0,0.655499994754791,17.0,31.8826007843018,31.0,2.00999999046326,7.0
