"SMILES","LOAEL parental as dose (mg/kg bw per day)"
"ClC1=C([N+]([O-])=O)C(NC2=NC=C(C(F)(F)F)C=C2Cl)=C([N+]([O-])=O)C=C1C(F)(F)F",5.000000000000000
"C[N+](C=C2)=CC=C2C1=CC=[N+](C)C=C1",5.000000000000000
"O=C(SCC1=CC=CC=C1)N(CCC)CCC",5.000000000000000
"FC(F)(F)C1=CC=C(N[C@@H]([C@H](C)C)C(OC(C#N)C2=CC(OC3=CC=CC=C3)=CC=C2)=O)C(Cl)=C1",5.000000000000000
"O=P(OC)(OC)SCCSC(C)C(NC)=O",5.000000000000000
"O=C1OC3(CCCCC3)C(OC(C(C)(C)CC)=O)=C1C2=C(Cl)C=C(Cl)C=C2",5.199999809265140
"CC(C)(C)C1=CC=C(CSC2=C(Cl)C(N(C(C)(C)C)N=C2)=O)C=C1",5.329999923706050
"N#CC(C2=CC(OC3=CC=CC=C3)=CC=C2)OC(C(C(C)C)C1=CC=C(Cl)C=C1)=O",5.599999904632570
"COC(C(NNC(OC(C)C)=O)=C2)=CC=C2C1=CC=CC=C1",5.800000190734860
"NC1=NNC=N1",5.900000095367430
"O=C(NC)OC1=C(OC(C)(C)C2)C2=CC=C1",6.000000000000000
"O[Sn](C2CCCCC2)(C3CCCCC3)C1CCCCC1",6.000000000000000
"O=S3OCC1C(CO3)C2(Cl)C(Cl)=C(Cl)C(Cl)1C(Cl)2Cl",6.000000000000000
"O=C(NC1=CC(Cl)=C(Cl)C=C1)N(C)OC",6.250000000000000
"S=P(OCC)(OCC)OC1=NC(C(C)C)=NC(C)=C1",6.409999847412110
"OC(C2=C(Cl)C=CC=C2)(C3=CN=CN=C3)C1=CC=C(Cl)C=C1",6.500000000000000
"C[N+](C=C2)=CC=C2C1=CC=[N+](C)C=C1",6.500000000000000
"CC(C(C1C(OC(C2=CC=CC(OC3=CC=CC=C3)=C2)C#N)=O)/C=C(C(F)(F)F)\Cl)1C",6.699999809265140
"CC(C(OCCCC)=O)OC1=CC=C(OC2=CC=C(C(F)(F)F)C=N2)C=C1",6.719999790191650
"O=C2C1=CC(F)=CC=C1N=C(N4N=CN=C4)N2C3=C(Cl)C=C(Cl)C=C3",6.800000190734860
