InChI,nAtomP,nB,nAtomLC,naAromAtom,nAromBond,ALogP,nRotB,MLogP,XLogP,LipinskiFailures,ALogp2,AMR,nAtomLAC,nHBDon,nAtom
"InChI=1S/C10H5Cl7/c11-4-2-1-3-5(4)9(15)7(13)6(12)8(3,14)10(9,16)17/h1-5H",2.0,19.0,0.0,0.0,0.0,4.0327000617981,0.0,1.78999996185303,3.54999995231628,0.0,16.2626686096191,75.8010025024414,0.0,0.0,22.0
"InChI=1S/C10H6Cl8/c11-3-1-2-4(5(3)12)9(16)7(14)6(13)8(2,15)10(9,17)18/h2-5H,1H2",2.0,20.0,0.0,0.0,0.0,4.24259996414185,0.0,1.67999994754791,4.35500001907349,0.0,17.9996547698975,78.1775970458984,0.0,0.0,24.0
"InChI=1S/C10H8Cl8/c1-4-7(2-11,3-12)9(16)6(14)5(13)8(4,15)10(9,17)18/h5-6H,1-3H2",2.0,19.0,2.0,0.0,0.0,5.04790019989014,2.0,1.67999994754791,4.52099990844727,0.0,25.481294631958,80.5724029541016,0.0,,26.0
"InChI=1S/C10H8N4/c11-8-5-4-7-10(13-8)14-6-2-1-3-9(14)12-7/h1-6H,(H2,11,13)",3.0,16.0,0.0,0.0,5.0,-1.02540004253387,0.0,2.11999988555908,1.56900000572205,0.0,1.05144512653351,34.0446014404297,0.0,3.0,28.0
"InChI=1S/C10H9Cl4NO2S/c11-9(12)10(13,14)18-15-7(16)5-3-1-2-4-6(5)8(15)17/h1-2,5-6,9H,3-4H2",5.0,19.0,7.0,0.0,0.0,2.72370004653931,3.0,1.67999994754791,2.76999998092651,0.0,7.41854190826416,77.7978973388672,2.0,0.0,27.0
"InChI=1S/C10H9Cl4O4P/c1-16-19(15,17-2)18-10(5-11)6-3-8(13)9(14)4-7(6)12/h3-5H,1-2H3",13.0,19.0,10.0,6.0,6.0,2.65429997444153,5.0,1.57000005245209,3.46000003814697,0.0,7.0453085899353,53.5253982543945,2.0,0.0,28.0
"InChI=1S/C10H9Cl7/c1-4-6(2,3)8(13)5(11)7(4,12)9(14,15)10(8,16)17/h5H,1H2,2-3H3",2.0,18.0,0.0,0.0,0.0,5.21360015869141,0.0,1.78999996185303,4.35300016403198,0.0,27.1816253662109,76.4124984741211,0.0,0.0,26.0
"InChI=1S/C10H9N/c11-10-6-5-8-3-1-2-4-9(8)7-10/h1-7H,11H2",11.0,12.0,0.0,10.0,11.0,-0.749899983406067,0.0,2.45000004768372,3.8529999256134,0.0,0.562350034713745,4.22209978103638,0.0,1.0,20.0
"InChI=1S/C10H9N/c11-10-7-3-5-8-4-1-2-6-9(8)10/h1-7H,11H2",11.0,12.0,0.0,10.0,11.0,-0.749899983406067,0.0,2.45000004768372,3.64199995994568,0.0,0.562350034713745,4.22209978103638,0.0,1.0,20.0
"InChI=1S/C11H10N4/c1-15-9-5-4-8-7(3-2-6-13-8)10(9)14-11(15)12/h2-6H,1H3,(H2,12,14)",14.0,17.0,0.0,10.0,11.0,-0.36719998717308,0.0,2.23000001907349,2.85199999809265,0.0,0.134835839271545,16.8964004516602,0.0,2.0,25.0
"InChI=1S/C11H10N4/c1-7-3-2-6-15-10(7)13-8-4-5-9(12)14-11(8)15/h2-6H,1H3,(H2,12,14)",3.0,17.0,0.0,0.0,5.0,-0.0604000017046928,0.0,2.23000001907349,1.86600005626678,0.0,0.00364816002547741,41.2084999084473,0.0,3.0,31.0
"InChI=1S/C11H11N3O3/c12-10(15)6-9-11(16)17-13-14(9)7-8-4-2-1-3-5-8/h1-5H,6-7H2,(H2-,12,13,15,16)/p+1",6.0,18.0,4.0,6.0,6.0,-0.820900022983551,4.0,2.00999999046326,1.87100005149841,0.0,0.673876821994781,33.0758018493652,2.0,,33.0
"InChI=1S/C11H11N5/c1-6-5-13-7-3-4-8-10(9(7)14-6)15-11(12)16(8)2/h3-5H,1-2H3,(H2,12,15)",14.0,18.0,0.0,10.0,11.0,0.0723000019788742,0.0,2.11999988555908,2.33800005912781,0.0,0.00522729009389877,22.6289005279541,0.0,2.0,27.0
"InChI=1S/C11H11N5/c12-10-7-6-9(11(13)14-10)16-15-8-4-2-1-3-5-8/h1-7H,(H4,12,13,14)",8.0,17.0,2.0,6.0,6.0,-1.50999999046326,2.0,2.11999988555908,3.03500008583069,0.0,2.28010010719299,26.8635005950928,0.0,3.0,31.0
"InChI=1S/C11H14N2O4/c12-10(14)16-6-9(7-17-11(13)15)8-4-2-1-3-5-8/h1-5,9H,6-7H2,(H2,12,14)(H2,13,15)",6.0,17.0,11.0,6.0,6.0,0.655499994754791,7.0,2.00999999046326,4.34600019454956,0.0,0.42968025803566,31.8826007843018,3.0,4.0,31.0
"InChI=1S/C11H14O2/c1-4-5-9-6-7-10(12-2)11(8-9)13-3/h4,6-8H,1,5H2,2-3H3",8.0,13.0,3.0,6.0,6.0,0.925100028514862,4.0,2.45000004768372,3.00300002098083,0.0,0.855809986591339,29.5333995819092,3.0,0.0,27.0
"InChI=1S/C11H16N4O4/c16-8-4-14(5-9(17)12-8)2-1-3-15-6-10(18)13-11(19)7-15/h1-7H2,(H,12,16,17)(H,13,18,19)",5.0,20.0,3.0,0.0,0.0,-2.74819993972778,4.0,1.78999996185303,-1.40199995040894,0.0,7.55260324478149,62.8157997131348,3.0,,35.0
